Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Kraken,btc_usd,10713.8,1601991185.067129,10713.8,3.13012303,10713.9,0.00337686,10738.06718
Kraken,btc_eur,9086.7,1601991185.068161,9086.7,1.81639081,9086.8,0.06079158,9095.33223
Kraken,eth_usd,347.38,1601991185.068759,347.38,4.52984283,347.39,0.51962232,349.70732
Kraken,eth_eur,294.37,1601991185.069343,294.27,93.55380637,294.37,1.00103536,296.64025
Kraken,btc_eur,9086.7,1601991188.67648,9086.7,7.98781958,9086.8,0.06079158,9095.32907
Kraken,btc_eur,9086.8,1601991190.43201,9086.7,4.03781958,9086.8,0.04729309,9095.32903
Kraken,btc_eur,9086.9,1601991191.510936,9086.8,2.90829081,9086.9,0.05971462,9095.32902
Kraken,eth_usd,347.39,1601991195.670661,347.39,58.18431529,347.4,3.5,349.70732
Kraken,btc_usd,10715.5,1601991196.251278,10715.5,13.01423096,10715.6,0.06079158,10738.06714
Kraken,eth_usd,347.4,1601991196.846323,347.39,22.18431529,347.4,3.47781352,349.70731
Kraken,btc_eur,9086.9,1601991197.242666,9086.8,2.5,9086.9,0.01549528,9095.32889
Kraken,eth_usd,347.39,1601991203.354115,347.39,66.50650605,347.4,3.47781352,349.70731
Kraken,btc_eur,9089.2,1601991206.29425,9086.8,6.80329081,9089.2,0.23605206,9095.32466
Kraken,btc_eur,9089.1,1601991206.442275,9086.9,3.15,9089.1,0.05959158,9095.32466
Kraken,eth_eur,294.4,1601991207.127931,294.39,220.92876809,294.4,1.975,296.64024
Kraken,eth_eur,294.4,1601991210.204454,294.39,86.8169246,294.4,6.38187538,296.64011
Kraken,eth_usd,347.39,1601991212.510665,347.39,1.37773187,347.4,86.33163396,349.70731
Kraken,eth_usd,347.33,1601991214.687286,347.33,10.15356902,347.4,3.47781352,349.70577
Kraken,btc_usd,10715.5,1601991216.031302,10715.5,11.06222582,10715.6,0.39636158,10738.06534
Kraken,btc_eur,9086.9,1601991217.987416,9086.8,3.1,9086.9,0.13705612,9095.32448
Kraken,btc_usd,10715.5,1601991218.469017,10715.5,11.05222582,10715.6,0.39636158,10738.06516
Kraken,btc_eur,9088.7,1601991230.741991,9088.6,4.10009299,9088.7,0.02361472,9095.32447
Kraken,btc_eur,9090.5,1601991232.782844,9088.6,1.76,9090.5,0.74845062,9095.32342
Kraken,btc_eur,9089.9,1601991235.006224,9089.2,2.5,9089.9,0.03894212,9095.32337
Kraken,btc_eur,9089.9,1601991235.481645,9089.2,2.5,9089.9,0.05612909,9095.32336
Kraken,btc_eur,9089.9,1601991236.076934,9089.3,0.00829081,9089.9,0.03968095,9095.32333
Kraken,eth_usd,347.37,1601991239.489027,347.37,17.880031,347.4,3.47781352,349.70528
Kraken,btc_eur,9089.2,1601991240.322525,9089.2,0.45945081,9089.9,0.06079158,9095.32322
Kraken,btc_eur,9089.9,1601991244.585695,9089.7,2.0,9089.9,0.04194735,9095.32319
Kraken,btc_eur,9088.1,1601991248.058167,9088.1,0.414,9089.3,2.13473,9095.32253
Kraken,btc_eur,9087.5,1601991248.549239,9087.4,0.5,9087.5,0.14796567,9095.32247
Kraken,btc_eur,9087.4,1601991249.012969,9087.4,0.4482626,9087.5,0.17061167,9095.32232
Kraken,btc_eur,9086.8,1601991249.427156,9086.8,1.00800738,9086.9,0.19552158,9095.32204
Kraken,btc_eur,9086.8,1601991249.872049,9086.8,0.87069439,9086.9,0.23140325,9095.32161
Kraken,btc_eur,9086.9,1601991250.422813,9086.8,0.87069439,9086.9,2.22933802,9095.32161
Kraken,eth_eur,294.29,1601991271.427629,294.28,58.80546872,294.29,17.05504624,296.63989
Kraken,eth_usd,347.36,1601991271.547629,347.36,0.17788457,347.37,251.00638681,349.70517
Kraken,eth_eur,294.29,1601991271.719602,294.28,58.80546872,294.29,15.80440723,296.63962
Kraken,eth_usd,347.1,1601991271.852753,347.1,3.77724556,347.37,251.00638681,349.70502
Kraken,eth_eur,294.29,1601991272.505852,294.28,28.80546872,294.29,12.71455606,296.63896
Kraken,eth_usd,347.1,1601991272.631351,347.1,0.92076471,347.22,2.69968873,349.70465
Kraken,eth_eur,294.29,1601991272.798937,294.28,28.80546872,294.29,10.24857462,296.63844
Kraken,eth_usd,347.07,1601991272.925143,347.07,1.01426736,347.18,0.5393327,349.70435
Kraken,btc_eur,9086.8,1601991273.780231,9086.8,0.28469439,9087.1,4.82107469,9095.31859
Kraken,btc_eur,9086.7,1601991293.896461,9086.6,0.25234146,9086.7,3.3878301,9095.31852
Kraken,eth_eur,294.29,1601991297.2877,294.29,23.52522365,294.39,96.78236461,296.62795
Kraken,eth_eur,294.31,1601991300.587957,294.31,35.86,294.35,9.856,296.62792
Kraken,btc_eur,9085.9,1601991304.507693,9085.8,5.69378438,9085.9,0.28326412,9095.31823
Kraken,eth_eur,294.4,1601991307.722204,294.32,6.425,294.4,0.59601273,296.62778
Kraken,eth_usd,347.19,1601991311.694334,347.12,28.96,347.19,10.6080998,349.70307
Kraken,btc_eur,9085.9,1601991318.785245,9085.8,6.64144292,9085.9,0.56370325,9095.31671
Kraken,btc_eur,9087.3,1601991337.015014,9087.2,2.46596028,9087.3,0.03127476,9095.31663
Kraken,btc_eur,9088.1,1601991337.421467,9087.2,3.2,9088.1,0.18172385,9095.31656
Kraken,btc_eur,9087.2,1601991337.858748,9087.2,2.64175145,9087.8,0.06079158,9095.31639
Kraken,btc_eur,9087.0,1601991339.218113,9087.0,0.63756269,9087.7,0.235,9095.3162
Kraken,btc_eur,9087.7,1601991342.23696,9087.0,0.63756269,9087.7,0.22937,9095.31619
Kraken,btc_usd,10715.9,1601991346.913041,10715.5,1.09409893,10715.9,0.73869789,10738.02058
Kraken,btc_eur,9087.0,1601991351.069404,9087.0,1.87025602,9087.6,0.37394761,9095.31044
Kraken,btc_eur,9086.7,1601991354.577768,9086.7,1.99529468,9087.1,0.00432027,9095.31042
Kraken,btc_usd,10715.6,1601991364.571257,10715.5,1.14124338,10715.6,2.92586949,10738.00275
Kraken,btc_eur,9086.9,1601991364.720974,9086.8,0.33158472,9086.9,0.02988167,9095.31041
Kraken,btc_eur,9086.8,1601991367.300495,9086.8,0.31642083,9086.9,0.34488167,9095.31036
