Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Kraken,btc_usd,10496.9,1601621930.757517,10494.2,1.91745566,10496.9,0.93877384,10515.9224
Kraken,btc_eur,8957.9,1601621930.758247,8957.9,0.00872724,8958.0,4.3854778,8948.57182
Kraken,eth_usd,344.04,1601621930.758682,344.03,8.499,344.04,134.43513752,345.98877
Kraken,eth_eur,293.52,1601621930.759107,293.51,33.68672,293.52,6.96924007,295.43671
Kraken,btc_eur,8957.9,1601621937.972659,8957.9,0.00608057,8958.0,1.1179178,8948.57186
Kraken,eth_eur,293.5,1601621945.905031,293.5,1.16719857,293.52,31.44786561,295.43624
Kraken,eth_usd,344.04,1601621947.791485,344.03,9.23665389,344.04,14.5918656,345.98777
Kraken,btc_eur,8958.0,1601621948.159954,8957.9,0.04255645,8958.0,1.11521053,8948.5719
Kraken,btc_usd,10496.7,1601621953.241875,10496.6,0.97690132,10496.7,0.08507379,10515.91426
Kraken,btc_eur,8958.0,1601621954.238654,8957.9,0.04255645,8958.0,1.09200492,8948.57227
Kraken,btc_eur,8958.0,1601621954.663217,8957.9,0.04255645,8958.0,1.06964519,8948.57262
Kraken,btc_eur,8958.0,1601621955.097394,8957.9,0.04255645,8958.0,1.04352392,8948.57302
Kraken,btc_eur,8956.3,1601621955.543685,8956.3,0.0314918,8958.0,1.04352392,8948.57408
Kraken,btc_usd,10496.6,1601621956.98384,10496.6,0.96062732,10496.7,0.08507379,10515.91399
Kraken,eth_usd,344.03,1601621964.072856,344.03,7.18775389,344.04,16.77184828,345.98755
Kraken,eth_eur,293.51,1601621965.198617,293.5,1.16719857,293.51,96.26283895,295.43618
Kraken,eth_eur,293.5,1601621965.802523,293.5,1.00829307,293.51,126.26283895,295.43614
Kraken,btc_usd,10493.4,1601621968.231238,10493.4,0.0891,10495.0,0.69497147,10515.90615
Kraken,eth_usd,344.04,1601621968.730663,344.03,7.18775389,344.04,28.43246997,345.98749
Kraken,btc_eur,8955.6,1601621972.366566,8955.3,0.0242,8955.6,0.00823794,8948.57419
Kraken,eth_eur,293.51,1601621974.756414,293.5,31.76344906,293.51,82.30334715,295.43524
Kraken,btc_eur,8955.7,1601621975.262406,8955.3,0.0242,8955.7,56.33534596,8948.57801
Kraken,btc_usd,10496.7,1601621977.919435,10496.1,1.0659268,10496.7,0.46953041,10515.88963
Kraken,btc_usd,10501.6,1601621983.303887,10500.4,2.60219248,10501.6,0.40599132,10515.88341
Kraken,eth_usd,344.41,1601621989.739326,344.37,5.68715389,344.41,2.06367658,345.98694
Kraken,btc_eur,8955.8,1601621990.682542,8955.8,9.32049578,8955.9,0.05582911,8948.57807
Kraken,btc_eur,8955.9,1601622000.932313,8955.8,7.89760316,8955.9,0.04486338,8948.5782
Kraken,btc_eur,8955.9,1601622001.957697,8955.8,7.89760316,8955.9,0.04263022,8948.57822
Kraken,btc_usd,10506.4,1601622007.190258,10504.1,0.71409559,10506.4,0.55353292,10515.88333
Kraken,eth_usd,344.49,1601622008.123219,344.42,46.42305389,344.49,0.60211518,345.98681
Kraken,eth_eur,293.89,1601622009.014313,293.8,0.75515599,293.89,11.76114561,295.43331
Kraken,btc_eur,8955.9,1601622009.097158,8955.8,9.1138111,8955.9,0.03507902,8948.57831
Kraken,btc_eur,8955.9,1601622011.235308,8955.8,8.68622794,8955.9,0.00749586,8948.57864
Kraken,btc_eur,8955.9,1601622012.125295,8955.8,8.74372794,8955.9,0.00545164,8948.57867
Kraken,btc_eur,8955.9,1601622020.066284,8955.8,8.72556594,8957.4,0.4,8948.57873
Kraken,btc_eur,8958.0,1601622020.240137,8957.9,0.63473,8958.0,0.30236669,8948.57913
Kraken,btc_usd,10506.2,1601622025.627793,10506.2,1.35773053,10506.3,0.75974162,10515.88321
Kraken,btc_usd,10506.2,1601622026.082677,10506.2,1.19494428,10506.3,0.77314789,10515.88277
Kraken,btc_usd,10506.3,1601622028.599377,10506.2,1.78803812,10506.3,0.7516081,10515.8826
Kraken,eth_usd,344.62,1601622029.656764,344.56,0.42305389,344.62,33.57652826,345.98676
Kraken,btc_eur,8958.0,1601622035.875868,8957.9,0.4087667,8958.0,0.60426761,8948.58085
Kraken,btc_eur,8958.0,1601622041.196223,8957.9,0.4087667,8959.0,0.101,8948.58397
Kraken,btc_eur,8958.7,1601622041.904407,8958.6,0.07801208,8958.7,0.0811896,8948.58437
Kraken,btc_eur,8958.7,1601622046.604965,8958.6,3.06800872,8958.7,0.06584798,8948.58462
Kraken,btc_eur,8958.7,1601622046.615162,8958.6,3.06800872,8958.7,0.05384798,8948.58482
Kraken,btc_eur,8958.7,1601622048.340384,8958.6,1.06800872,8958.7,0.03167122,8948.58518
Kraken,btc_eur,8958.7,1601622048.810057,8958.6,1.06800872,8958.7,0.00284308,8948.58566
Kraken,btc_eur,8958.7,1601622052.455212,8958.6,0.50342753,8958.7,0.6842974,8948.5862
Kraken,eth_usd,344.5,1601622064.569638,344.5,0.40954908,344.52,105.82959587,345.98514
Kraken,eth_usd,344.5,1601622064.57523,344.33,8.60155751,344.52,105.82959587,345.9851
Kraken,btc_usd,10502.6,1601622065.82609,10502.5,0.001,10502.6,5.11222759,10515.88246
Kraken,btc_usd,10502.5,1601622075.050347,10496.6,0.4,10502.6,8.91613359,10515.88245
Kraken,eth_usd,344.18,1601622075.209441,344.17,0.69578788,344.18,39.66102371,345.98448
Kraken,btc_eur,8958.6,1601622075.246637,8957.9,0.18821487,8958.7,4.61459635,8948.58642
Kraken,eth_usd,344.05,1601622075.291266,344.05,0.00734539,344.18,39.66102371,345.98315
Kraken,btc_eur,8957.9,1601622075.429186,8957.9,0.00029954,8958.0,0.51,8948.58926
Kraken,eth_usd,344.03,1601622075.611699,344.03,0.0001,344.05,12.541,345.98246
