Plateforme,Asset,Quote,Datetime
Kraken,xbt/usd,10326.20000,1600942198.193992
Kraken,eth/eur,282.53000,1600942198.686824
Kraken,eth/usd,328.14000,1600942198.837288
Kraken,xbt/eur,8893.90000,1600942200.631368
Kraken,xbt/usd,10326.20000,1600942200.775021
Kraken,xbt/eur,8894.00000,1600942203.448555
Kraken,xbt/usd,10328.30000,1600942203.588015
Kraken,xbt/eur,8894.10000,1600942206.446481
Kraken,xbt/usd,10328.30000,1600942206.679598
Kraken,xbt/eur,8894.00000,1600942207.153597
Kraken,xbt/eur,8894.00000,1600942208.500776
Kraken,eth/eur,282.61000,1600942208.520696
Kraken,eth/usd,328.36000,1600942208.977992
Kraken,xbt/eur,8894.10000,1600942210.671661
Kraken,xbt/usd,10328.50000,1600942210.827901
Kraken,xbt/eur,8894.00000,1600942218.542351
Kraken,xbt/eur,8894.10000,1600942225.728642
Kraken,eth/usd,328.40000,1600942225.875538
Kraken,xbt/usd,10329.70000,1600942226.045961
Kraken,xbt/eur,8894.00000,1600942226.975830
Kraken,eth/eur,282.75000,1600942227.279066
Kraken,eth/usd,328.48000,1600942227.338436
Kraken,eth/usd,328.67000,1600942227.763784
Kraken,eth/eur,282.95000,1600942228.946533
Kraken,eth/usd,328.80000,1600942229.233805
Kraken,eth/eur,283.00000,1600942230.104374
Kraken,eth/eur,283.06000,1600942230.353439
Kraken,xbt/eur,8897.10000,1600942232.186788
Kraken,xbt/eur,8897.10000,1600942232.568955
Kraken,eth/usd,329.10000,1600942233.863956
Kraken,eth/eur,283.19000,1600942239.217160
Kraken,xbt/eur,8897.20000,1600942243.653726
Kraken,xbt/eur,8897.20000,1600942244.099884
Kraken,xbt/eur,8897.20000,1600942244.553541
Kraken,xbt/eur,8897.20000,1600942245.043063
Kraken,xbt/eur,8897.10000,1600942245.504634
Kraken,xbt/eur,8897.20000,1600942250.571333
Kraken,eth/eur,283.15000,1600942252.493182
Kraken,eth/usd,329.00000,1600942252.765924
